"Sampling.Event.ID","Site","SiteCode","Height","Genus","Herbicide.Treatment","Sociality","Nest.Type","Agapostemon texanus","Agapostemon virescens","Apis mellifera","Augochlorella aurata","Calliopsis nebraskensis","Ceratina dupla","Eucera hamata","Halictus ligatus","Lasioglossum Dialictus","Lasioglossum Evylaeus","Lasioglossum Hemihalictus","Melissodes bimaculata","Melissodes boltoniae","Melissodes communis","Melissodes trinodis","Osmia lignaria","Osmia pumila","Species.Density"
7,"LTR","LTR-C","High","Lasioglossum","Spr","Semi-Social","Ground",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NA
7,"LTR","LTR-C","Low","Augochlorella","Spr","Semi-Social","Ground",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
8,"GIL","GIL-S","High","Halictus","Con","Social","Ground",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
8,"GIL","GIL-S","High","Lasioglossum","Con","Semi-Social","Ground",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
9,"STE","STE-W","High","Agapostemon","Con","Semi-Social","Ground",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
9,"STE","STE-W","High","Eucera","Con","Solitary","Cavities",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
9,"STE","STE-W","High","Lasioglossum","Con","Semi-Social","Ground",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
9,"STE","STE-W","Low","Eucera","Con","Solitary","Cavities",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
10,"GIL","GIL-N","High","Agapostemon","Spr","Semi-Social","Ground",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
10,"GIL","GIL-N","High","Ceratina","Spr","Semi-Social","Cavities",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA
11,"LTR","LTR-E","High","Agapostemon","SnS","Semi-Social","Ground",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
11,"LTR","LTR-E","Low","Augochlorella","SnS","Semi-Social","Ground",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
11,"LTR","LTR-E","Low","Lasioglossum","SnS","Semi-Social","Ground",0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,NA
13,"PYN","PYN-N","High","Augochlorella","Ref","Semi-Social","Ground",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
13,"PYN","PYN-N","High","Lasioglossum","Ref","Semi-Social","Ground",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,NA
14,"STE","STE-S","High","Augochlorella","SnS","Semi-Social","Ground",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
14,"STE","STE-S","High","Ceratina","SnS","Semi-Social","Cavities",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
14,"STE","STE-S","High","Lasioglossum","SnS","Semi-Social","Ground",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,NA
15,"LTR","LTR-W","High","Augochlorella","Con","Semi-Social","Ground",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
15,"LTR","LTR-W","High","Halictus","Con","Social","Ground",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
15,"LTR","LTR-W","High","Lasioglossum","Con","Semi-Social","Ground",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,NA
15,"LTR","LTR-W","Low","Eucera","Con","Solitary","Cavities",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
